name,address,c_lon,c_lat,g_lon,g_lat
Father Filipiac Park,"Father Filipiac Park, 1220 N 11th St, St. Louis, MO 63101, USA",-90.19096838863634,38.63719251694151,-90.1921158,38.6372503
Carondelet Lions Park,"Carondelet Lions Park, 301-399 Davis St, St. Louis, MO 63111, USA",-90.2647954751912,38.545090604921896,-90.265281,38.545052
Laclede Park,"Grand Forest Dr, St. Louis, MO 63103, USA",-90.23147263220687,38.581183989102456,-90.2310451,38.6327696
David R Francis Park,"Francis Park, Eichelberger St & Donovan Ave, St. Louis, MO 63109, United States",-90.3016932564872,38.58494830325024,-90.3015016,38.5849081
Gravois Park,"Gravois Park, St. Louis, MO 63118, USA",-90.23856870000039,38.59217155075643,-90.2385735,38.5921492
Lyon Park,"Lyon Park, 3100 S Broadway, St. Louis, MO 63118, USA",-90.21078272086264,38.593687396011106,-90.21069179999999,38.5934566
Lafayette Park,"Lafayette Square, St. Louis, MO, USA",-90.21604479081468,38.6159986430927,-90.2139151,38.6173893
Terry Park,"Terry Park, 3200 Eads Ave, St. Louis, MO 63104, USA",-90.23331119141598,38.61769676244805,-90.23355409999999,38.6176798
Tiffany Park,"Tiffany Park, 3801 McRee Ave, St. Louis, MO 63110, USA",-90.24239076740258,38.61904746815835,-90.2424242,38.6190552
Franz Park,"Franz Park, St. Louis, MO, USA",-90.30310864646925,38.62171698116882,-90.30662769999999,38.6237409
Adams Park,"Adams Park, 4317 Vista Ave, St. Louis, MO 63110, USA",-90.25835511778655,38.624510173952196,-90.2586302,38.6243481
Lucas Gardens Park,"Lucas Park Dog Park membership only, St Charles St & 13th Street, St. Louis, MO 63103, United States",-90.1992082714117,38.63142902875154,-90.1992988,38.6314342
Interco Plaza,"Interco Plaza, St. Louis, MO 63101, USA",-90.19543597976534,38.63386366216228,-90.19560419999999,38.6339764
Kingsbury Square Park,"Kingsbury Square Park, St. Louis, MO 63112, USA",-90.28713755258107,38.6521192113459,-90.2870986,38.6521417
Fountain Park,"Fountain Park, St. Louis, MO, USA",-90.25987224699269,38.65543048645967,-90.25965699999999,38.6553185
Tandy Park,"4206 Kennerly Ave, St. Louis, MO 63113, USA",-90.23827894756046,38.66029256338524,-90.2372494,38.6598165
Gwen Giles Park,"Gwen B.Giles Park, 924 Hodiamont Ave, St. Louis, MO 63112, USA",-90.29466669044966,38.66098952440971,-90.2946674,38.6610805
Sherman Park,"Academy/Sherman Park, St. Louis, MO, USA",-90.26277645892257,38.66509732177554,-90.2690466,38.65529739999999
Fairground Park,"St. Louis, MO 63107, USA",-90.22152537832947,38.665640336932206,-90.22563869999999,38.6671841
Amherst Park,"Amherst Park, 5969 Plymouth Ave, St. Louis, MO 63112, USA",-90.28988093568441,38.66770567880518,-90.29003469999999,38.6678617
Handy Park,"Handy Park, 4821 Ashland Ave, St. Louis, MO 63115, USA",-90.24892901551179,38.67237487024186,-90.24880309999999,38.6720514
Vivian Astra Park,"Vivian Astra Park, St. Louis, MO 63147, USA",-90.24902841007085,38.70904396446616,-90.2490231,38.7089764
David Hickey Park,"Hickey Park, 8674 N Broadway, St. Louis, MO 63147, USA",-90.22760819967822,38.7215298166884,-90.2273975,38.7215424
South St. Louis Square,"3611 Juniata St, St. Louis, MO 63116, USA",-90.2597325238792,38.54667254246681,-90.24298399999999,38.601137
Lindenwood Park,"Lindenwood Park, St. Louis, MO, USA",-90.30751069437206,38.596794431796866,-90.3085306,38.5983021
Tilles Park,"Tilles Park, 9551 Litzsinger Rd, St. Louis, MO 63124, USA",-90.2895512896278,38.60042666484572,-90.36502709999999,38.6208212
Pontiac Square Park,"Pontiac Square Park, 5600 Clayton Ave, St. Louis, MO 63110, USA",-90.20659422884069,38.60528331710036,-90.2065897,38.6052703
Tower Grove Park,"Tower Grove Park, 4257 Northeast Dr, St. Louis, MO 63110, USA",-90.25541252107521,38.60630065234869,-90.2570502,38.6079207
Sublette Park,"Sublette Park, 5701 Arsenal St, St. Louis, MO 63139, USA",-90.28238588833976,38.607414854601,-90.28239359999999,38.6074895
Yeatman Square Park,"Yeatman Square Park, 1820 Glasgow Ave, St. Louis, MO 63106, USA",-90.21651112155143,38.64897131836938,-90.2164061,38.6490162
Hyde Park,"Hyde Park, St. Louis, MO, USA",-90.20206292285079,38.661651010903675,-90.203367,38.6606721
Eugene Tink Bradley Park,"Eugene Tink Bradley Park, 4652 Margaretta Ave, St. Louis, MO 63115, USA",-90.24235537737466,38.67448613768315,-90.24235089999999,38.6746855
Eads Square Park,"Eads Square Park, 2700-2730 Eads Ave, St. Louis, MO 63104, USA",-90.22329766535225,38.6169073310518,-90.2230069,38.6168206
Fourteenth Street Mall,"N 14th St & St. Louis Ave, St. Louis, MO 63106, United States",-90.19727021557027,38.65051685535683,-90.1972152,38.6505247
Washington Square Park,"Washington Square Park, St. Louis, MO 63103, USA",-90.199819239369,38.62751981970168,-90.19977829999999,38.6276592
Soulard Playground,"Soulard Park, St. Louis, MO 63104, USA",-90.20138705261144,38.61036733108294,-90.2014627,38.6103618
Ernest J Russell Park,"Russell Park, 5800-18 Cabanny Ave, St. Louis, MO 63112, USA",-90.2865764491159,38.65855639523071,-90.28651149999999,38.6586966
Walnut Park,"Walnut Park East, St. Louis, MO 63120, USA",-90.25404736147546,38.696063938767395,-90.2511034,38.6970911
Joseph Dickman Park,"Dickman Park, Baden Ave, St. Louis, MO 63147, USA",-90.23547750297645,38.71019830364344,-90.2357531,38.7102316
Jet Banks Park,"Jet Banks Park, 1445 Webster Ave, St. Louis, MO 63106, USA",-90.22130850918148,38.646001648305685,-90.22182819999999,38.6465482
Marie Fowler Park,"Marie W. Fowler Park, St. Louis, MO 63113, USA",-90.27139680073964,38.661125424105954,-90.2715411,38.6610257
DeSoto Park,"2001-2099 Carr St, St. Louis, MO 63106, USA",-90.207865743203,38.639716522629826,-90.2068903,38.6393044
Aboussie Park,"Aboussie Park, 13th St & Sidney Street, St. Louis, MO 63118, United States",-90.21420042776921,38.60180788565049,-90.21428139999999,38.6015672
Fanetti Park,"Fanetti Plaza, Schirmer St, St. Louis, MO 63111, USA",-90.26148161021479,38.548984653989564,-90.26149079999999,38.5489795
River Des Peres Park,"River Des Peres Park, 6701 River Des Peres Blvd, St. Louis, MO 63116, USA",-90.31130708389628,38.581772148855094,-90.31191539999999,38.5810949
Joseph Leisure Park,"Joseph R. Leisure Park, Carlsbad Ave, St. Louis, MO 63116, USA",-90.27712496292054,38.57394945018529,-90.2769709,38.5742931
Marquette Park,"Marquette Park, St. Louis, MO 63118, USA",-90.23924999716131,38.583074736315886,-90.23941839999999,38.5829052
Fox Park,"Fox Park, St. Louis, MO, USA",-90.2259087733317,38.6075968613908,-90.22563869999999,38.6094981
Windsor Park,"Windsor Park, 4015 Blair Ave, St. Louis, MO 63107, USA",-90.2040229008899,38.66568523357393,-90.20424589999999,38.6655851
St. Louis Place Park,"St. Louis Place Park, 2008 St Louis Ave, St. Louis, MO 63106, USA",-90.2042488633328,38.65098118100838,-90.20483180000001,38.6492008
Strodtman Park,"Strodtman Park, 3100 N 14th St, St. Louis, MO 63107, USA",-90.19653427051409,38.655326297143105,-90.19648289999999,38.6552774
Jordan Chambers Park,"Chambers Park, St. Louis, MO 63106, USA",-90.22301797713253,38.64106612699136,-90.22300059999999,38.6413023
Seay Park,"Norman Seay Park, St. Louis, MO 63106, USA",-90.21858300399923,38.64165393301051,-90.2187507,38.6418019
Gateway Mall Plaza,"Gateway park, St. Louis, MO 63101, USA",-90.19426900168993,38.62694612677207,-90.1942861,38.6269308
Ruth Porter Mall,"Ruth Porter Mall Trail, St. Louis, MO 63112, USA",-90.28351966331057,38.65927901565831,-90.2836074,38.6586446
Ray Leisure Park,"Ray Leisure Park and Playground, Park Ave, St. Louis, MO 63104, USA",-90.20384123870896,38.61372949095513,-90.2034036,38.6141702
Dwight Davis Park,"Gregory J. Carter Park, 5800 Lilian Ave, St. Louis, MO 63120, USA",-90.25597165774163,38.69948638215195,-90.2564299,38.6995469
Penrose Park,"Penrose Park, 4200 N Kingshighway Blvd, St. Louis, MO 63115, USA",-90.24701198461763,38.68393471029385,-90.2463428,38.6832561
